"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"49ers","DST","SF",100029,NA,8.67660208643815,3.6,11.9481516042381,5.85078370662092,30,0.876602086438153,19,46,19.8,4.4,7.67820899509893
"A.J. Derby","TE","DEN",2552580,1991-09-20,2.92613636363636,1.3625,3.98041754756871,1.52965522611888,42,0.0897632708821234,14,1,39.7,5.8,4.7145391766575
"A.J. Green","WR","CIN",2495450,1988-07-31,13.8869788694912,10.6225,15.9397140843423,2.69476816563474,14,0.17605163757008,3,5,3.3,1.5,1.88306366587194
"AJ McCarron","QB","CIN",2543497,1990-09-13,1.324,1.324,1.324,2.22383863495563e-16,35,0.502,20,2,NA,NA,3.79321556663569
"Aaron Burbridge","WR","SF",2555362,1993-12-23,0.9525,0.9525,0.9525,1.11191931747782e-16,125,0.0433550670640835,29,0,NA,NA,NA
"Aaron Murray","QB","FA",2543587,1990-11-10,0,0,0,NA,48,0,30,2,NA,NA,NA
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,1.84240685543964,0.025,3.06779269053478,1.77791074642341,83,0.133340705059967,19,1,84.5,6.1,5.14068709276121
"Aaron Rodgers","QB","GB",2506363,1983-12-02,20.4777223796034,20.336,20.5666075627677,0.133321137325372,2,0.777949008498581,2,11,1.4,1.4,3.1812651953559
"Adam Humphries","WR","TB",2553895,1993-06-24,3.6570821529745,2.825,4.17894591776481,0.782756677478503,94,0.0615463817692081,23,1,82.9,9.1,6.4917633038823
"Adam Thielen","WR","MIN",2541785,1990-08-22,5.60500745156483,1.76,8.19750216615257,3.7614472773415,66,0.0223837910723157,15,2,33.4,6.3,4.79382133198375
"Adam Vinatieri","K","IND",2503471,1972-12-28,6.27900507614213,2.88247619047619,7.44240985048373,2.20094307545376,13,0.301696748409488,3,20,17.1,3.9,7.05849822707702
"Adrian Peterson","RB","MIN",2507164,1985-03-21,11.5618049792531,5.3775,15.6169310918666,5.98749668136568,15,0.814430621418692,5,9,NA,NA,NA
"Alan Cross","RB","TB",2556508,1993-05-02,0,0,0,NA,109,0,28,0,109.5,20.5,13.1284982566206
"Albert Wilson","WR","KC",2550272,1992-07-12,4.25520119225037,3.64,4.60593023255814,0.848528137423857,86,0.137266909280547,21,2,90.5,7.8,5.70343310264369
"Aldrick Robinson","WR","ATL",2495331,1988-09-24,2.71410788381743,2.5,2.87786089935347,0.228385124527616,108,0.244756103161822,26,5,NA,NA,NA
"Alex Erickson","WR","CIN",2556519,1992-11-06,0.220350223546945,0.105,0.298125064984577,0.112843418320245,145,0.0328502235469448,35,0,106.3,9.1,6.4917633038823
"Alex Smith","QB","KC",2506340,1984-05-07,17.9339773371105,14.844,19.8719436791318,2.90680479713953,8,0.485603399433426,5,11,17.2,2.8,8.4970726410223
"Alfred Blue","RB","HOU",2543600,1991-04-27,2.30267351274788,1,3.33461913935598,1.42032461639245,75,0.0679938998744096,19,2,NA,NA,NA
"Alfred Morris","RB","DAL",2533457,1988-12-12,4.31250922574693,2.2375,6.47385327899236,2.55261810609284,56,0.119957062982139,16,4,75.1,5.3,4.69691980588014
"Allen Hurns","WR","JAC",2550353,1991-11-21,8.21082142857143,7.1625,9.32499548929664,1.31394133440042,42,0.0833125123493375,8,2,45.3,4.5,3.70228720719182
"Allen Robinson","WR","JAC",2543509,1993-08-24,13.9548333333333,9.925,16.2039248021108,3.07370793265044,12,0.0441177081115605,3,2,NA,NA,NA
"Alshon Jeffery","WR","CHI",2533039,1990-02-14,14.1275933609959,10.6875,16.3833055978279,3.33061639936107,10,0.155294260027663,3,4,NA,NA,NA
"Amari Cooper","WR","OAK",2552487,1994-06-18,14.6303452380952,10.8225,17.0665715259455,3.20451105752409,7,0.233474560363565,3,1,10.5,4.4,3.64164642248116
"Ameer Abdullah","RB","DET",2552374,1993-06-13,6.84091874955645,5.545,7.77351001617394,1.17062766546029,34,0.113967410048967,10,1,22.6,4.5,4.25315251899906
"Andre Caldwell","WR","DET",206,1985-04-15,0,0,0,NA,154,0,0,8,NA,NA,NA
"Andre Ellington","RB","ARI",2539217,1989-02-03,1.84022619047619,0.35,2.80728116717635,1.27584695987214,84,0.268386528635299,19,3,59.7,5,4.53050707329973
"Andre Holmes","WR","OAK",2495453,1988-06-16,5.875,5.875,5.875,8.78442885409717e-16,62,0.126304023845007,14,5,NA,NA,NA
"Andre Roberts","WR","DET",497320,1988-01-09,1.25,1.25,1.25,0,122,0.143328986587183,28,6,NA,NA,NA
"Andre Williams","RB","SD",2543565,1992-08-28,0,0,0,NA,109,0,28,2,NA,NA,NA
"Andrew Hawkins","WR","CLE",2508097,1986-03-10,0,0,0,NA,154,0,39,5,NA,NA,NA
"Andrew Luck","QB","IND",2533031,1989-09-12,19.8156317280453,17.168,21.4761685589781,2.49068124730579,3,0.723674220963172,3,4,NA,NA,9.05155699563485
"Andy Dalton","QB","CIN",2495143,1987-10-29,11.7771331444759,10.128,12.8114334576603,1.55137323433159,25,0.438881019830028,15,5,20.3,3.2,7.74859199370367
"Andy Janovich","RB","DEN",2555432,1993-05-23,1.4,1.4,1.4,0,90,0.218150149031296,20,0,96.5,6.7,5.47351255792202
"Anquan Boldin","WR","DET",2505587,1980-10-03,5.625,5.625,5.625,0,64,0.00999627421758564,15,13,NA,NA,NA
"Anthony Fasano","TE","TEN",2495835,1984-04-20,0,0,0,NA,90,0,0,10,NA,NA,NA
"Anthony Sherman","RB","KC",2495340,1988-12-11,0.105141579731744,0.0625,0.136281828664142,0.0438835515689841,105,0.0601415797317437,26,5,NA,NA,NA
"Antone Smith","RB","TB",89798,1985-09-17,0,0,0,NA,109,0,28,7,NA,NA,NA
"Antonio Andrews","RB","TEN",2550474,1992-08-17,0,0,0,NA,109,0,28,2,NA,NA,NA
"Antonio Brown","WR","PIT",2508061,1988-07-10,19.3956098218721,16.655,20.7959135933058,1.94746612497043,1,1.68259573448928,1,6,1.3,0.8,1.4585781728973
"Antonio Gates","TE","SD",2505299,1980-06-18,9.26926002766252,4.25,12.5604515960689,4.85952792744873,8,0.788307646710136,3,13,NA,NA,NA
"Antwan Goodley","WR","GB",2554138,1991-09-06,0,0,0,NA,154,0,39,1,NA,NA,NA
"Arrelious Benn","WR","JAC",497270,1988-09-08,0.4,0.4,0.4,7.85241294394891e-17,140,0.10625,34,6,105.6,5.2,4.12677270016646
"Asante Cleveland","TE","SD",2550454,1992-03-21,0,0,0,NA,90,0,0,2,NA,NA,NA
"Austin Davis","QB","FA",2533349,1989-06-02,0,0,0,NA,48,0,30,4,NA,NA,NA
"Austin Hooper","TE","ATL",2555415,1994-10-29,5.8625,5.8625,5.8625,1.25638607103182e-15,18,0.399245387126535,8,0,15.2,3.3,3.35087282311054
"Austin Seferian-Jenkins","TE","NYJ",2543683,1992-09-29,5.1,5.1,5.1,0,22,0.25892658168083,9,2,24.6,7.4,5.58728564292756
"Bears","DST","CHI",100005,NA,9.40253353204173,5.5,13.5476601180473,5.00997123854225,24,0.155365126676601,16,46,28.9,1.8,2.08745047950317
"Beau Sandland","TE","FA",2555487,1993-02-23,0,0,0,NA,90,0,26,0,NA,NA,NA
"Ben Braunecker","TE","CHI",2556478,1994-02-07,0,0,0,NA,90,NA,26,0,NA,NA,NA
"Ben Koyack","TE","JAC",2552396,1993-04-09,0.346758569299553,0.225,0.428854235261498,0.119112497115814,74,0.0530085692995529,23,1,62.8,4,3.73269940210369
"Ben Roethlisberger","QB","PIT",2506109,1982-03-02,17.4967478753541,16.5,18.2863468045846,1.08676927092499,9,0.152736543909345,5,12,8.3,2.1,5.3817827719927
"Bengals","DST","CIN",100006,NA,10.0461997019374,6.2,14.1780538958774,4.9370130884681,19,0.284798807749629,13,46,27.8,3.8,5.2704790473774
"Benjamin Watson","TE","BAL",2506122,1980-12-18,3.2375,3.2375,3.2375,Inf,38,0.125,14,12,17.7,4,3.73269940210369
"Bennie Fowler","WR","DEN",2550198,1991-06-10,0.4375,0.4375,0.4375,0,138,0.0197000745156483,33,2,86.8,6.9,5.15766604024772
"Benny Cunningham","RB","LAR",2541544,1990-07-07,2.57778699861687,0.46,3.96644641755803,2.05039089575904,74,0.301450242242937,18,3,NA,NA,NA
"Bilal Powell","RB","NYJ",2495328,1988-10-27,7.74551160669931,5.47119970193741,9.41078067024371,2.120552153874,30,0.66815117975748,9,5,40.4,3.7,3.80938523211798
"Bills","DST","BUF",100003,NA,9.58166915052161,8.3,14.1282742719436,3.67370770381301,22,0.158569299552905,14,46,21.3,4.6,4.62743594149434
"Bishop Sankey","RB","MIN",2543682,1992-09-15,0,0,0,0,109,0,28,2,NA,NA,NA
"Blaine Gabbert","QB","SF",2495441,1989-10-15,11.1,11.1,11.1,2.51843599756742e-15,27,0.125509915014165,16,5,NA,NA,3.79321556663569
"Blair Walsh","K","FA",2532968,1990-01-08,1.7,1.7,1.7,2.19610721352429e-16,27,0.127385892116183,10,4,NA,NA,1.73027914870698
"Blake Bortles","QB","JAC",2543477,1991-12-16,16.6251019830028,16.4,16.8034221872807,0.245432093712613,17,1.01621388101982,9,2,29.3,1.9,4.15250616353223
"Bradley Marquez","WR","LAR",2553725,1992-12-14,0.6625,0.6625,0.6625,0,132,0.0575745156482862,31,1,NA,NA,NA
"Branden Oliver","RB","SD",2550658,1991-05-07,2.7,2.7,2.7,6.28193035515912e-16,73,0.259769744317626,18,2,NA,NA,NA
"Brandin Cooks","WR","NO",2543498,1993-09-25,14.6158022130014,11.025,16.9703361287803,3.47652911780927,8,0.463035961272476,3,2,NA,NA,NA
"Brandon Allen","QB","JAC",2555365,1992-09-05,0,0,0,NA,48,0,30,0,NA,NA,NA
"Brandon Bolden","RB","NE",2532797,1990-01-26,3.1525,3.1525,3.1525,6.28039902315353e-16,64,0.144240476190476,18,4,NA,NA,NA
"Brandon Bostick","TE","NYJ",2536342,1989-05-03,0,0,0,NA,90,0,0,4,NA,NA,NA
"Brandon Coleman","WR","NO",2550328,1992-06-22,4.761717585693,4.2875,5.08145860049215,0.463911830872118,76,0.0648961571215665,18,2,64.3,6.8,5.09702525553706
"Brandon Gibson","WR","NE",81288,1987-08-13,0.4875,0.4875,0.4875,Inf,136,0.0375000000000001,0,7,NA,NA,NA
"Brandon LaFell","WR","CIN",497302,1986-11-04,5.24958333333333,3.97,6.74465709786822,1.75708392428009,72,0.262083333333333,16,6,65.3,7.2,5.33958839437971
"Brandon Marshall","WR","NYJ",2495893,1984-03-23,13.989764868603,11.775,15.4420138896492,2.14428255806484,11,0.0451220114601867,3,10,NA,NA,NA
"Brandon McManus","K","DEN",2541556,1991-07-25,6.50817332821453,2.3227619047619,9.36169288645691,3.37279415431159,12,0.271222512087925,3,2,14.8,2.3,5.315800901146
"Brandon Myers","TE","TB",89766,1985-09-04,0,0,0,NA,90,0,0,7,NA,NA,NA
"Brandon Tate","WR","BUF",81306,1987-10-05,0.5125,0.5125,0.5125,0,135,0.0375,32,7,124.5,2.5,2.48947151297857
"Brandon Weeden","QB","HOU",2532970,1983-10-14,0,0,0,NA,48,0,30,4,NA,NA,NA
"Brandon Williams","TE","SEA",2539645,1987-10-12,0.175,0.175,0.175,NA,87,0.06875,26,4,NA,NA,NA
"Braxton Miller","WR","HOU",2555348,1992-11-30,2.25245901639344,1.9,2.49010436523065,0.344799333756304,114,0.0972788395509219,27,0,93.8,10.2,7.15881193569959
"Brent Celek","TE","PHI",2507218,1985-01-25,2.29997619047619,0.725,3.20840214067278,1.21801711495033,50,0.263927515790221,16,9,55.3,10.5,7.27823192132579
"Breshad Perriman","WR","BAL",2552597,1993-09-10,3.83699701937407,1.075,5.69927238935293,2.70197296089031,91,0.0972718473225758,22,1,81.6,6.8,5.09702525553706
"Brett Hundley","QB","GB",2552588,1993-06-15,0.01,0.01,0.01,0,47,0.01,29,1,NA,NA,3.79321556663568
"Brian Hoyer","QB","CHI",81294,1985-10-31,0,0,0,NA,48,0,30,7,NA,NA,NA
"Brian Quick","WR","LAR",2532933,1989-06-05,2.125,2.125,2.125,6.28193035515912e-16,117,0.459310730253353,27,4,NA,NA,NA
"Brice Butler","WR","DAL",2541388,1990-01-29,2.92262667660209,2.0575,3.50593798738433,0.846325637401837,107,0.269113811180625,26,3,97.6,9.4,6.67368565801429
"Brittan Golden","WR","ARI",2535988,1988-07-20,0.2375,0.2375,0.2375,2.80701558417532e-17,144,0.0210748882265276,35,4,117.8,4.5,3.70228720719182
"Brock Osweiler","QB","HOU",2533436,1990-11-22,18.6,18.6,18.6,0,5,0.0993257790368283,4,4,NA,NA,3.79321556663568
"Broncos","DST","DEN",100009,NA,11.8867362146051,10.4,16.4925914685245,3.74692275619227,5,0.141803278688526,4,46,3.1,2.1,0.620728111501521
"Browns","DST","CLE",100007,NA,8.80253353204173,4.7,11.7926449204789,5.75608285680163,29,0.564232488822654,19,46,16.6,3.7,6.37745501915763
"Bruce Ellington","WR","SF",2543646,1991-08-22,0,0,0,NA,154,0,39,2,NA,NA,NA
"Bryce Petty","QB","NYJ",2552369,1991-05-31,0.02,0.02,0.02,3.47474786711817e-18,45,0.01,28,1,NA,NA,3.79321556663568
"Bryce Treggs","WR","PHI",2556697,1994-04-30,0,0,0,NA,154,0,39,0,NA,NA,NA
"Buccaneers","DST","TB",100031,NA,9.1,5.1,13.1060790273556,7.07106781186547,27,0.23859910581222,18,46,15.1,3.4,7.92482054174
"Byron Marshall","WR","PHI",2556841,1994-02-13,0,0,0,NA,154,0,39,0,NA,NA,NA
"C.J. Anderson","RB","DEN",2540269,1991-02-10,13.2014761904762,9.37,15.2321530343008,2.82561401442245,11,0.251321125050589,4,3,9.7,2,2.8663797474957
"C.J. Fiedorowicz","TE","HOU",2543721,1991-10-22,4.40314828614009,0.9875,6.70614775759886,3.34141899803836,26,0.0958328099496129,10,2,NA,NA,NA
"C.J. Prosise","RB","SEA",2555417,1994-05-20,3.22498333333333,0.8475,4.59549840600775,1.87939184673503,63,0.141233333333333,18,0,62.6,5.9,5.02974527104094
"C.J. Spiller","RB","FA",497204,1987-08-15,0.28,0.28,0.28,7.85241294394891e-17,98,0.06875,23,6,NA,NA,NA
"C.J. Uzomah","TE","CIN",2552559,1993-01-14,0.470417287630402,0.15,0.686458513846047,0.313453939778458,68,0.0454172876304024,21,1,47.9,12.3,8.2600716958796
"Cairo Santos","K","KC",2550636,1991-11-21,6.8125977761663,2.41838095238095,9.19277704485488,3.17285288780592,9,0.137843848199179,2,2,9,2.5,5.48713466737561
"Caleb Sturgis","K","PHI",2539637,1989-08-09,7.39254847929019,2.44085714285714,8.97519338010433,3.20279719410588,5,0.0818469763539929,1,3,NA,NA,7.30234376538903
"Cam Newton","QB","CAR",2495455,1989-05-11,19.5839150141643,18.3,20.6010006237493,1.3998719419164,4,1.009888101983,3,5,6.4,2.3,6.05345342599928
"Cameron Artis-Payne","RB","CAR",2552375,1990-06-23,2.1775619047619,1,3.28928375127421,1.33125588159561,80,0.0525619047619048,19,1,NA,NA,NA
"Cameron Brate","TE","TB",2550656,1991-07-03,4.76898016997167,3.75,5.57619097122957,1.11100947771142,24,0.362173884044484,10,2,20,2.6,2.9690462441174
"Cameron Meredith","WR","CHI",2553568,1992-09-21,0,0,0,NA,154,0,39,1,NA,NA,NA
"Cardinals","DST","ARI",100026,NA,12.0949329359165,7.9,16.3335551438446,5.13199110351942,4,0.277198211624441,3,46,15.7,4.5,6.72693606809951
"Carlos Hyde","RB","SF",2543743,1991-09-20,8.39473243914555,6.405,9.47119132759159,1.4757228315638,24,0.149847766304733,7,2,10.1,2.4,3.08826339093624
"Carson Palmer","QB","ARI",2505245,1979-12-27,14.960730878187,13.988,15.5708064535418,0.915067806187773,20,1.18505240793201,11,13,16.8,2.8,6.39458900396099
"Carson Wentz","QB","PHI",2555259,1992-12-30,10.8489801699717,8.24,12.1946807387863,3.43653895656662,29,2.11498016997167,16,0,13.8,3.1,9.56799941455765
"Case Keenum","QB","LAR",2532888,1988-02-12,6.4,6.4,6.4,1.71677048606632e-15,33,4.293,18,4,NA,NA,3.79321556663569
"Cecil Shorts","WR","TB",2495341,1987-12-22,0,0,0,NA,154,0,0,5,NA,NA,NA
"Cedric Peerman","RB","CIN",79629,1986-10-10,0,0,0,0,109,0,29,7,NA,NA,NA
"Chad Henne","QB","JAC",252,1985-07-02,0.146,0.146,0.146,3.92524938947096e-17,42,0.0950000000000001,26,8,NA,NA,3.79321556663568
"Chandler Catanzaro","K","ARI",2550325,1991-02-26,2.42904564315353,1.8,2.84151873788853,0.60902699874031,22,0.238727524204703,7,2,NA,NA,2.78983352715157
"Charcandrick West","RB","KC",2550268,1991-06-02,4.28307113050884,3.28,4.93475996604639,0.859350787951701,57,0.227054532998463,16,2,69.3,5.6,4.86333253846054
"Charles Clay","TE","BUF",2495139,1989-02-13,8.57440476190476,6.6625,10.5150340809147,2.31674130452507,9,0.322412053793201,4,5,17,2.6,2.9690462441174
"Charles Johnson","WR","MIN",2541147,1989-02-27,5.625,5.625,5.625,0,64,0.0220796075509195,15,3,NA,NA,NA
"Charles Sims","RB","TB",2543770,1990-09-19,6.48391997167139,5.7,7.10492191763911,0.85471979137572,40,0.114378201101983,11,2,56,6.4,5.30709982534161
"Charone Peake","WR","NYJ",2555477,1992-10-16,3.55,3.55,3.55,6.28193035515912e-16,97,0.0375000000000001,24,0,126.7,4.1,3.45972406834917
"Chase Daniel","QB","PHI",81284,1986-10-07,0,0,0,NA,48,0,30,7,NA,NA,NA
"Chester Rogers","WR","IND",2556396,1994-01-12,3.55,3.55,3.55,6.28193035515912e-16,97,0.14751304023845,24,0,NA,NA,NA
"Chiefs","DST","KC",100016,NA,11.2233979135618,6.2,15.7269243836038,5.55221746602973,11,0.19649776453055,8,46,10.3,3.1,5.07201396395977
"Chris Boswell","K","PIT",2550545,1989-12-16,7.70053233281836,2.29485714285714,9.75049461507778,3.52703382813369,3,0.22181025312354,1,2,9.9,2.7,6.14048533241114
"Chris Conley","WR","KC",2552652,1992-10-25,4.41040476190476,3.93,4.90144714147287,0.58129057302601,83,0.0651419679905159,19,1,76.7,5.8,4.49061740843043
"Chris Gragg","TE","BUF",2539202,1990-06-30,0,0,0,0,90,0,0,3,NA,NA,NA
"Chris Harper","WR","SF",2553652,1993-12-07,0,0,0,NA,154,0,39,1,NA,NA,NA
"Chris Hogan","WR","NE",2530515,1988-10-24,5.60083333333333,3.28,7.90997214147287,2.73363857474644,67,0.0393559384009867,15,5,31.7,6,4.61189897785176
"Chris Ivory","RB","JAC",2507999,1988-03-22,2.7275,2.7275,2.7275,0,72,0.0886065006915624,18,6,62.4,5.6,4.86333253846054
"Chris Johnson","RB","ARI",262,1985-09-23,3.70872875354108,2.325,4.80488433024924,1.50870037030131,61,0.326237086874409,17,8,38,3.7,3.80938523211798
"Chris Manhertz","TE","CAR",2552622,1992-04-10,0,0,0,0,90,0,0,0,43.5,8.4,6.13275218434634
"Chris Matthews","WR","BAL",2531049,1989-10-06,0,0,0,0,154,0,39,2,NA,NA,NA
"Chris Moore","WR","BAL",2555209,1993-06-16,0.113133383010432,0.0875,0.130416681107684,0.0250763151822766,149,0.0506333830104322,38,0,133.5,9.5,6.73432644272495
"Chris Owusu","WR","NYJ",2532923,1990-01-06,0.2475,0.2475,0.2475,NA,143,0.0185748882265276,35,4,NA,NA,NA
"Chris Thompson","RB","WAS",2540011,1990-10-20,4.98631398765169,3.745,5.63238136307316,0.889157836865058,50,0.0839883313098611,15,3,32.3,4.1,4.03126887555852
"Christian Hackenberg","QB","NYJ",2555416,1995-02-14,0,0,0,NA,48,0,30,0,NA,NA,NA
"Christine Michael","RB","GB",2539322,1990-11-09,0,0,0,NA,109,0,28,3,NA,NA,NA
"Clay Harbor","TE","DET",497242,1987-07-02,0,0,0,NA,90,0,0,6,NA,NA,NA
"Clive Walford","TE","OAK",2552397,1991-10-21,4.41046428571429,3.125,5.43810175840979,1.27699585274541,25,0.0526401426442415,10,1,58.1,13.9,9.13281816214965
"Cobi Hamilton","WR","PIT",2539203,1990-11-13,0,0,0,NA,154,0,39,3,NA,NA,NA
"Coby Fleener","TE","NO",2532838,1988-09-20,6.57628571428571,5.625,7.19545871559633,0.806851050107647,16,0.364666666666667,7,4,11.7,2.6,2.9690462441174
"Cody Core","WR","CIN",2555331,1994-04-17,0.925,0.925,0.925,1.57048258878978e-16,126,0.0531426974664678,29,0,137,5.7,4.42997662371977
"Cody Kessler","QB","CLE",2555387,1993-05-11,0,0,0,NA,48,0,30,0,NA,NA,NA
"Cody Latimer","WR","DEN",2543590,1992-10-10,1.02617362146051,0.35,1.51996899738853,0.695867746308177,124,0.0874236214605066,29,2,121.7,8,5.82471467206501
"Cody Parkey","K","CLE",2550380,1992-02-19,0,0,0,NA,30,0,10,2,NA,NA,NA
"Cole Beasley","WR","DAL",2535698,1989-04-26,5.88219315520545,4.22880029806259,6.96846293604651,1.44001216934277,61,0.00849717905045733,14,4,61.9,6,4.61189897785176
"Colin Kaepernick","QB","SF",2495186,1987-11-03,0,0,0,NA,48,0,30,5,NA,NA,NA
"Colt McCoy","QB","WAS",497123,1986-09-05,2.89,2.89,2.89,0,34,1.778,19,6,NA,NA,3.79321556663568
"Colts","DST","IND",100014,NA,11.5715350223547,6.7,15.9996398787818,5.39470449058837,8,0.210134128166915,5,46,17.9,4.9,7.79412072148617
"Connor Barth","K","CHI",2507463,1986-04-11,6.64010152284264,2,8.74530343007916,3.12974437179504,11,0.246512320664307,3,8,29.4,2.7,5.79489327832802
"Connor Cook","QB","OAK",2555332,1993-01-29,0,0,0,NA,48,0,30,0,NA,NA,NA
"Connor Shaw","QB","CHI",2550252,1991-09-19,0,0,0,NA,48,0,30,2,NA,NA,NA
"Cooper Helfet","TE","OAK",2536071,1989-06-02,0,0,0,NA,90,0,0,5,NA,NA,NA
"Cordarrelle Patterson","WR","MIN",2540145,1991-03-17,2.17780082987552,1.25,2.8873972305317,0.989668872953004,115,0.0490210679707568,27,3,NA,NA,NA
"Corey Coleman","WR","CLE",2555333,1994-07-06,8.10882142857143,6.7075,9.32246093272171,1.46789585664026,44,0.21770238095238,8,0,NA,NA,NA
"Corey Fuller","WR","NO",2540261,1990-06-23,0,0,0,NA,154,0,39,3,NA,NA,NA
"Corey Grant","RB","JAC",2553650,1991-12-19,0.36408345752608,0.3,0.407291702769209,0.0626907879556916,97,0.106583457526081,22,1,88.5,6.4,5.30709982534161
"Cory Harkey","TE","LAR",2533353,1990-06-17,0,0,0,NA,90,0,0,4,NA,NA,NA
"Cowboys","DST","DAL",100008,NA,9.1177347242921,4.4,13.5014019813462,5.31650695401194,26,0.107600596125188,18,46,19.1,4.7,7.34307004400278
"Crockett Gillmore","TE","BAL",2543794,1991-11-16,2.5,2.5,2.5,0,48,0.164380952380952,16,2,NA,NA,NA
